HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Type 1,Type 2,Legendary,Name
89,58,66,27,37,17,Water,Psychic,False,Slowpoke
56,101,48,92,70,123,Electric,,False,Raichu
85,109,58,104,75,59,Grass,Poison,False,Victreebel
46,47,43,33,39,91,Water,,False,Poliwag
43,52,38,79,72,36,Grass,Poison,False,Bulbasaur
34,33,74,44,69,45,Water,,False,Squirtle
101,95,77,39,72,89,Normal,,False,Kangaskhan
51,49,62,62,49,48,Water,,False,Psyduck
89,131,96,99,107,84,Dragon,Flying,False,Dragonite
49,53,57,45,62,48,Water,,False,Squirtle
53,17,47,23,19,35,Bug,Poison,False,Kakuna
45,56,40,36,49,63,Dragon,,False,Dratini
96,94,93,67,101,74,Water,Fighting,False,Poliwrath
65,48,117,100,44,60,Grass,,False,Tangela
80,81,86,98,95,73,Grass,Poison,False,Venusaur
41,55,80,60,49,40,Poison,,False,Koffing
37,26,66,19,31,27,Bug,,False,Metapod
57,83,74,111,89,108,Water,Psychic,False,Starmie
83,79,105,22,21,22,Ground,Rock,False,Rhyhorn
47,33,35,111,64,110,Psychic,,False,Kadabra
40,78,36,46,38,72,Normal,Flying,False,Doduo
106,69,106,94,72,26,Water,Psychic,False,Slowbro
16,111,95,32,18,57,Water,,False,Krabby
46,64,36,55,56,47,Dragon,,False,Dratini
70,141,48,27,80,133,Bug,Poison,False,BeedrillMega Beedrill
56,41,50,136,90,127,Psychic,,False,Alakazam
37,58,32,29,32,43,Normal,Flying,False,Pidgey
64,100,51,84,87,111,Electric,,False,Raichu
125,58,65,109,88,70,Water,,False,Vaporeon
90,68,77,56,97,69,Water,Ice,False,Dewgong
46,67,53,83,48,62,Fire,,False,Growlithe
40,35,35,28,41,100,Normal,,False,Meowth
70,66,66,82,113,67,Psychic,,False,Hypno
53,64,93,124,62,70,Electric,Steel,False,Magneton
74,98,123,137,128,80,Water,,False,BlastoiseMega Blastoise
84,86,84,72,100,84,Poison,Ground,False,Nidoqueen
38,53,48,45,54,50,Poison,,False,Ekans
67,69,58,103,80,128,Electric,,False,Jolteon
84,145,112,84,124,85,Water,Dark,False,GyaradosMega Gyarados
99,107,85,158,93,138,Psychic,,True,Mewtwo
59,62,65,137,73,104,Ghost,Poison,False,Gengar
36,84,77,47,37,58,Rock,Water,False,Kabuto
84,53,30,114,91,96,Ice,Psychic,False,Jynx
36,73,99,59,38,21,Poison,,False,Koffing
37,48,54,43,53,55,Poison,,False,Ekans
59,70,89,88,36,94,Water,,False,Seadra
66,50,118,119,82,57,Rock,Water,False,Omastar
66,48,27,113,97,93,Ice,Psychic,False,Jynx
58,107,59,89,74,86,Fire,,False,Magmar
58,53,57,53,55,65,Normal,Flying,False,Farfetch'd
88,56,70,64,67,32,Normal,,False,Lickitung
49,39,40,41,96,70,Water,Poison,False,Tentacool
71,106,72,61,54,106,Normal,Flying,False,Dodrio
86,70,67,73,65,105,Normal,Flying,False,Pidgeot
39,61,44,39,29,44,Poison,,False,Nidoran♂
70,54,63,55,50,57,Poison,,False,Nidorina
73,57,61,111,100,117,Electric,,False,Jolteon
70,152,44,10,80,139,Bug,Poison,False,BeedrillMega Beedrill
93,84,101,99,75,41,Water,Psychic,False,Slowbro
87,104,117,126,118,73,Grass,Poison,False,VenusaurMega Venusaur
28,63,29,27,38,61,Normal,Flying,False,Spearow
87,112,65,49,56,37,Fighting,,False,Machoke
64,126,65,102,118,57,Fire,,False,Flareon
37,15,12,117,53,89,Psychic,,False,Abra
87,100,61,105,77,68,Grass,Poison,False,Victreebel
96,89,104,65,86,74,Water,Fighting,False,Poliwrath
32,42,32,59,103,67,Water,Poison,False,Tentacool
61,86,68,63,62,77,Dragon,,False,Dragonair
57,95,56,66,65,97,Normal,Flying,False,Fearow
94,102,62,96,77,69,Grass,Poison,False,Victreebel
51,55,49,43,40,29,Poison,,False,Nidoran♀
84,70,77,72,111,61,Psychic,,False,Hypno
48,40,38,31,41,60,Normal,Flying,False,Pidgey
20,40,76,62,29,51,Water,,False,Horsea
65,54,60,65,84,149,Electric,,False,Electrode
91,79,95,18,30,16,Ground,Rock,False,Rhyhorn
93,63,69,98,96,64,Fairy,,False,Clefable
26,48,22,27,39,108,Ground,,False,Diglett
46,115,47,35,113,90,Fighting,,False,Hitmonlee
81,69,50,35,58,32,Poison,,False,Grimer
64,46,57,43,60,44,Bug,Poison,False,Venonat
51,118,59,57,60,106,Normal,Flying,False,Dodrio
20,31,18,119,43,81,Psychic,,False,Abra
62,60,64,69,61,116,Normal,,False,Persian
77,67,65,72,121,76,Psychic,,False,Hypno
58,43,53,40,36,42,Poison,,False,Nidoran♀
77,111,75,151,121,92,Fire,Flying,False,CharizardMega Charizard Y
60,39,74,169,96,151,Psychic,,False,AlakazamMega Alakazam
34,60,84,68,43,36,Poison,,False,Koffing
47,55,28,28,41,89,Water,,False,Poliwag
63,44,51,43,52,61,Bug,Poison,False,Venonat
69,87,76,61,78,91,Poison,Flying,False,Golbat
61,133,102,60,68,78,Bug,,False,Pinsir
41,61,47,69,64,63,Normal,Flying,False,Farfetch'd
34,32,30,31,26,49,Bug,Poison,False,Weedle
54,95,65,106,82,101,Fire,,False,Magmar
54,51,48,34,65,57,Normal,,False,Eevee
37,25,32,55,65,66,Fire,,False,Vulpix
60,91,58,101,97,96,Fire,,False,Magmar
18,15,19,95,56,96,Psychic,,False,Abra
66,67,114,116,66,59,Rock,Water,False,Omastar
46,57,32,35,44,62,Poison,,False,Nidoran♂
37,28,40,122,73,112,Psychic,,False,Kadabra
52,19,48,20,30,31,Bug,,False,Metapod
80,108,100,42,56,60,Ground,,False,Sandslash
57,65,64,78,81,51,Normal,,False,Porygon
64,68,64,111,97,125,Electric,,False,Jolteon
82,136,87,77,82,48,Fighting,,False,Machamp
78,94,118,94,66,61,Poison,,False,Weezing
70,88,83,89,76,83,Water,,False,Golduck
1,58,41,27,44,90,Ground,,False,Diglett
89,73,75,131,87,124,Normal,Flying,False,PidgeotMega Pidgeot
56,86,61,83,89,99,Electric,,False,Electabuzz
100,108,106,168,76,119,Psychic,,True,Mewtwo
49,54,73,92,71,31,Grass,Poison,False,Gloom
98,131,102,58,100,101,Normal,,False,KangaskhanMega Kangaskhan
95,103,80,97,83,88,Fire,,False,Arcanine
42,49,48,84,51,20,Grass,Poison,False,Oddish
47,129,56,30,108,85,Fighting,,False,Hitmonlee
66,111,54,101,73,87,Fire,,False,Magmar
63,74,63,87,67,79,Bug,Poison,False,Venomoth
56,90,42,96,79,110,Electric,,False,Raichu
62,57,61,55,50,100,Water,,False,Poliwhirl
60,104,76,93,77,82,Poison,Ground,False,Nidoking
62,57,57,58,49,106,Water,,False,Poliwhirl
112,114,129,46,43,37,Ground,Rock,False,Rhydon
79,84,81,98,83,92,Water,,False,Golduck
101,105,109,95,97,100,Psychic,,False,Mew
72,46,67,68,56,60,Poison,,False,Nidorina
62,103,51,37,75,80,Bug,Poison,False,Beedrill
87,89,63,53,90,65,Water,,False,Seaking
72,101,96,46,68,126,Normal,,False,Tauros
259,11,1,33,103,46,Normal,,False,Chansey
110,191,90,151,98,131,Psychic,Fighting,True,MewtwoMega Mewtwo X
34,33,46,56,63,98,Electric,,False,Voltorb
41,56,52,69,64,36,Grass,Poison,False,Oddish
36,88,44,41,33,73,Normal,Flying,False,Doduo
35,72,86,60,48,46,Rock,Water,False,Kabuto
49,58,36,67,66,45,Grass,Poison,False,Bulbasaur
98,127,94,56,81,58,Fighting,,False,Machamp
102,133,118,43,51,36,Ground,Rock,False,Rhydon
119,187,108,143,107,119,Psychic,Fighting,True,MewtwoMega Mewtwo X
100,42,64,75,77,21,Normal,,False,Lickitung
68,70,66,88,74,84,Bug,Poison,False,Venomoth
45,47,47,52,69,58,Normal,,False,Eevee
1,71,24,29,40,81,Ground,,False,Diglett
84,102,72,98,55,73,Grass,Poison,False,Victreebel
72,90,62,80,59,98,Normal,Flying,False,Pidgeot
98,63,66,29,40,25,Water,Psychic,False,Slowpoke
94,128,94,97,100,89,Dragon,Flying,False,Dragonite
80,93,118,138,117,79,Water,,False,BlastoiseMega Blastoise
54,111,70,48,82,28,Bug,Grass,False,Parasect
58,59,68,85,92,54,Grass,Poison,False,Ivysaur
18,36,71,95,52,53,Electric,Steel,False,Magnemite
80,99,79,86,77,84,Poison,Ground,False,Nidoking
85,95,67,155,121,92,Fire,Flying,False,CharizardMega Charizard Y
93,138,87,108,101,75,Dragon,Flying,False,Dragonite
54,53,56,33,96,38,Psychic,,False,Drowzee
48,123,123,52,50,71,Water,,False,Kingler
50,151,31,30,84,159,Bug,Poison,False,BeedrillMega Beedrill
71,45,50,61,66,41,Fairy,,False,Clefairy
88,82,92,40,22,21,Ground,Rock,False,Rhyhorn
21,59,42,35,35,54,Normal,,False,Rattata
109,104,102,107,89,92,Psychic,,False,Mew
66,94,62,62,70,59,Dragon,,False,Dragonair
67,81,45,72,51,66,Grass,Poison,False,Weepinbell
56,43,87,49,52,33,Ground,,False,Cubone
78,80,112,78,105,74,Water,,False,Blastoise
90,70,73,26,38,18,Water,Psychic,False,Slowpoke
